Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
78,0,Foraging,Foraging,Adult,{},{},[8897.091201782227;30560.282470703125;-13741.271728515625]
78,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
79,0,Foraging,Foraging,Adult,{},{},[9051.60629144311;30541.664447247982;-13762.525570183992]
79,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
80,0,Foraging,Foraging,Adult,{},{},[9051.60629144311;30541.664447247982;-13762.525570183992]
80,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
81,0,Foraging,Foraging,Adult,{},{},[9051.60629144311;30541.664447247982;-13762.525570183992]
81,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
82,0,Foraging,Foraging,Adult,{},{},[9051.60629144311;30541.664447247982;-13762.525570183992]
82,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
83,0,Foraging,Foraging,Adult,{},{},[9012.248478388414;30545.575640115887;-13757.61893154122]
83,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
84,0,Foraging,Foraging,Adult,{},{},[9012.248478388414;30545.575640115887;-13757.61893154122]
84,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
85,0,Foraging,Foraging,Adult,{},{},[8989.107979554683;30593.941979691386;-13729.168950915337]
85,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
86,0,Foraging,Foraging,Adult,{},{},[8989.107979554683;30593.941979691386;-13729.168950915337]
86,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
87,0,Foraging,Foraging,Adult,{},{},[8989.107979554683;30593.941979691386;-13729.168950915337]
87,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
88,0,Foraging,Foraging,Adult,{},{},[8989.107979554683;30593.941979691386;-13729.168950915337]
88,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
89,0,Foraging,Foraging,Adult,{},{},[8989.107979554683;30593.941979691386;-13729.168950915337]
89,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
90,0,Foraging,Foraging,Adult,{},{},[8989.107979554683;30593.941979691386;-13729.168950915337]
90,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
91,0,Foraging,Foraging,Adult,{},{},[8989.107979554683;30593.941979691386;-13729.168950915337]
91,3,Lying/resting (stationary),Background,Adult,{},{},[36032.204570770264;38654.973675727844;-28825.4555747509]
92,0,Foraging,Foraging,Adult,{},{},[8989.107979554683;30593.941979691386;-13729.168950915337]
92,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
93,6,Moving,Foraging,Adult,{},{0},[16498.01058737561;30570.028413642198;-15822.778868125752]
93,0,Foraging,Foraging,Adult,{},{6},[8989.107979554683;30593.941979691386;-13729.168950915337]
93,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
94,6,Moving,Foraging,Adult,{},{0},[13293.117167502642;29659.40263402462;-15219.43275025487]
94,0,Foraging,Foraging,Adult,{},{6},[9005.622012919746;30634.84649686888;-13704.578102828935]
94,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
95,6,Moving,Foraging,Adult,{0},{0},[12552.131545348093;29420.29776420258;-15088.629434043542]
95,0,Foraging,Foraging,Adult,{6},{6},[9005.622012919746;30634.84649686888;-13704.578102828935]
95,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
96,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12402.363745141774;29275.453907370567;-15123.417530663311]
96,0,Foraging,Foraging,Adult,{6},{6},[9005.622012919746;30634.84649686888;-13704.578102828935]
96,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
97,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12341.74915646296;29231.393768880516;-15134.29280735366]
97,0,Foraging,Foraging,Adult,{6},{6},[8949.970795795321;30596.906035624444;-13723.548190653324]
97,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
98,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12341.74915646296;29231.393768880516;-15134.29280735366]
98,0,Foraging,Foraging,Adult,{6},{6},[8897.091201782227;30560.282470703125;-13741.271728515625]
98,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
99,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12341.74915646296;29231.393768880516;-15134.29280735366]
99,0,Foraging,Foraging,Adult,{6},{6},[8877.663145713508;30511.33153861761;-13761.008725345135]
99,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
100,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12341.74915646296;29231.393768880516;-15134.29280735366]
