Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
45,14,Moving,Around Mound,Adult,{11;8},{6;7;11;8}
45,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
45,3,Low sitting/standing (stationary),Sand Area,Adult,{},{6;10;7}
45,8,None,Around Mound,Pup,{14;7;11},{6;14;7;11}
46,6,None,Around Mound,Pup,{14;7},{7;8;3;14;11}
46,10,Dig burrow,Sand Area,Adult,{},{0}
46,11,Groom,Around Mound,Adult,{14;7;8},{6;14;7;8}
46,12,Dig burrow,Sand Area,Adult,{},{}
46,13,Dig burrow,Sand Area,Adult,{},{}
46,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{10}
46,7,None,Around Mound,Pup,{6;14;11;8},{8;3;6;14;11}
46,14,Interact with pup,Around Mound,Adult,{6;7;11;8},{8;3;6;7;11}
46,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
46,3,Low sitting/standing (stationary),Sand Area,Adult,{},{6;14;7}
46,8,None,Around Mound,Pup,{14;7;11},{6;14;7;11}
47,6,None,Around Mound,Pup,{14;7},{7;8;3;14;11}
47,10,Dig burrow,Sand Area,Adult,{},{0}
47,11,Groom,Around Mound,Adult,{7;8},{6;14;7;8}
47,12,Dig burrow,Sand Area,Adult,{},{}
47,13,Dig burrow,Sand Area,Adult,{},{}
47,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{10}
47,7,None,Around Mound,Pup,{6;14;11;8},{8;3;6;14;11}
47,14,Interact with pup,Around Mound,Adult,{6;7},{8;3;6;7;11}
47,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
47,3,Low sitting/standing (stationary),Sand Area,Adult,{},{6;14;7}
47,8,None,Around Mound,Pup,{7;11},{6;14;7;11}
48,6,None,Around Mound,Pup,{14;7},{7;8;3;14;11}
48,10,Dig burrow,Sand Area,Adult,{},{0}
48,11,Groom,Around Mound,Adult,{7;8},{6;14;7;8}
48,12,Dig burrow,Sand Area,Adult,{},{}
48,13,Dig burrow,Sand Area,Adult,{},{}
48,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{10}
48,7,None,Around Mound,Pup,{6;14;11;8},{8;3;6;14;11}
48,14,Interact with pup,Around Mound,Adult,{6;7},{8;3;6;7;11}
48,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
48,3,Low sitting/standing (stationary),Sand Area,Adult,{},{6;14;7}
48,8,None,Around Mound,Pup,{7;11},{6;14;7;11}
49,6,None,Around Mound,Pup,{14;7},{7;8;3;14;11}
49,10,Dig burrow,Sand Area,Adult,{},{0}
49,11,Groom,Around Mound,Adult,{7;8},{6;14;7;8}
49,12,Dig burrow,Sand Area,Adult,{},{}
49,13,Dig burrow,Sand Area,Adult,{},{}
49,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{10}
49,7,None,Around Mound,Pup,{6;14;11;8},{8;3;6;14;11}
49,14,Interact with pup,Around Mound,Adult,{6;7},{8;3;6;7;11}
49,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
49,3,Low sitting/standing (stationary),Sand Area,Adult,{},{6;14;7}
49,8,None,Around Mound,Pup,{7;11},{6;14;7;11}
