Time,ID,Behaviour,Zone,Close_neighbours,Distant_neighbours
476,66,Foraging,Foraging,{70;62;71;69},{71;70;68;69;62;60;65}
476,68,Foraging,Waiting Area,{70;65},{71;66;70;69;62;60;65}
476,69,Interacting with foreign object,Foraging,{66;62;71;60},{71;66;68;70;62;60;65}
476,70,Foraging,Foraging,{66;68},{71;66;68;69;62;60;65}
476,71,Interacting with foreign object,Foraging,{66;62;69;60},{66;68;70;69;62;60;65}
477,60,Interacting with foreign object,Foraging,{71;62;69},{71;66;68;69;62;65}
477,62,Foraging,Foraging,{66;69;60;71},{71;66;68;70;69;60;65}
477,65,Foraging,Foraging,{68},{71;66;68;70;69;62;60}
477,66,Foraging,Foraging,{62;69},{71;70;68;69;62;60;65}
477,68,Foraging,Waiting Area,{70;65},{71;66;70;69;62;60;65}
477,69,Interacting with foreign object,Foraging,{66;62;71;60},{71;66;68;70;62;60;65}
477,70,Foraging,Foraging,{68},{71;66;68;69;62;65}
477,71,Interacting with foreign object,Foraging,{62;69;60},{66;68;70;69;62;60;65}
478,60,Interacting with foreign object,Foraging,{71;62;69},{71;66;68;69;62;65}
478,62,Foraging,Foraging,{66;69;60;71},{71;66;68;70;69;60;65}
478,65,Foraging,Foraging,{68},{71;66;68;70;69;62;60}
478,66,Foraging,Foraging,{62;69},{71;70;68;69;62;60;65}
478,68,Foraging,Foraging,{70;65},{71;66;70;69;62;60;65}
478,69,Interacting with foreign object,Foraging,{66;62;71;60},{71;66;68;70;62;60;65}
478,70,Foraging,Foraging,{68},{71;66;68;69;62;65}
478,71,Interacting with foreign object,Foraging,{62;69;60},{66;68;70;69;62;60;65}
479,60,Interacting with foreign object,Foraging,{71;62;69},{71;66;68;69;62;65}
479,62,Foraging,Foraging,{66;69;60;71},{71;66;68;70;69;60;65}
479,65,Foraging,Foraging,{68},{71;66;68;70;69;62;60}
479,66,Foraging,Foraging,{62;69},{71;70;68;69;62;60;65}
479,68,Foraging,Foraging,{70;65},{71;66;70;69;62;60;65}
479,69,Interacting with foreign object,Foraging,{66;62;71;60},{71;66;68;70;62;60;65}
479,70,Foraging,Foraging,{68},{71;66;68;69;62;65}
479,71,Interacting with foreign object,Foraging,{62;69;60},{66;68;70;69;62;60;65}
480,60,Interacting with foreign object,Foraging,{71;62;69},{71;66;68;69;62;65}
480,62,Moving,Foraging,{66;69;60;71},{71;66;68;70;69;60;65}
480,65,Foraging,Waiting Area,{68},{71;66;68;70;69;62;60}
480,66,Foraging,Foraging,{62;69},{71;70;68;69;62;60;65}
480,68,Foraging,Foraging,{70;65},{71;66;70;69;62;60;65}
480,69,Interacting with foreign object,Foraging,{66;62;71;60},{71;66;68;70;62;60;65}
480,70,Foraging,Foraging,{68},{71;66;68;69;62;65}
480,71,Interacting with foreign object,Foraging,{62;69;60},{66;68;70;69;62;60;65}
481,60,Interacting with foreign object,Foraging,{71;62;69},{71;66;68;69;62;65}
481,62,Moving,Foraging,{66;69;60;71},{71;66;68;70;69;60;65}
481,65,Foraging,Waiting Area,{68},{71;66;68;70;69;62;60}
481,66,Foraging,Foraging,{62;69},{71;70;68;69;62;60;65}
481,68,Foraging,Foraging,{70;65},{71;66;70;69;62;60;65}
481,69,Interacting with foreign object,Foraging,{66;62;71;60},{71;66;68;70;62;60;65}
481,70,Foraging,Foraging,{68},{71;66;68;69;62;65}
481,71,Interacting with foreign object,Foraging,{62;69;60},{66;68;70;69;62;60;65}
482,60,Foraging,Foraging,{71;69},{71;66;68;69;62;65}
482,62,Moving,Foraging,{66;71;69},{71;66;68;70;69;60;65}
482,65,Foraging,Waiting Area,{68},{71;66;68;70;69;62;60}
482,66,Foraging,Foraging,{71;62;69},{71;70;68;69;62;60;65}
482,68,Foraging,Foraging,{70;65},{71;66;70;69;62;60;65}
482,69,Interacting with foreign object,Foraging,{66;62;71;60},{71;66;68;70;62;60;65}
482,70,Foraging,Foraging,{68},{71;66;68;69;62;65}
482,71,Interacting with foreign object,Foraging,{66;62;69;60},{66;68;70;69;62;60;65}
483,60,Foraging,Foraging,{71;69},{71;66;68;69;62;65}
483,62,Dig burrow,Foraging,{66},{71;60;66;68;69;70}
483,65,Foraging,Waiting Area,{68},{71;60;66;68;69;70}
483,66,Foraging,Foraging,{70;62;71;69},{71;70;68;69;62;60;65}
483,68,Foraging,Foraging,{70;65},{71;66;70;69;62;60;65}
483,69,Interacting with foreign object,Foraging,{66;71;60},{71;66;68;70;62;60;65}
483,70,Foraging,Foraging,{66;68},{71;66;68;69;62;65}
483,71,Interacting with foreign object,Foraging,{66;69;60},{66;68;70;69;62;60;65}
484,60,Foraging,Foraging,{69},{71;66;68;69;62;65}
484,62,Foraging,Foraging,{66;70},{60;66;68;69;70}
484,65,Foraging,Waiting Area,{71;68},{71;60;66;68;69;70}
484,66,Foraging,Foraging,{70;62;69},{71;70;68;69;62;60;65}
484,68,Foraging,Foraging,{71;70;65},{71;66;70;69;62;60;65}
484,69,Interacting with foreign object,Foraging,{66;60},{71;66;68;70;62;60;65}
484,70,Foraging,Foraging,{66;62;68},{71;66;68;69;62;65}
484,71,Interacting with foreign object,Foraging,{68;65},{66;68;70;69;60;65}
485,60,Moving,Foraging,{69},{71;66;68;69;62;65}
485,62,Foraging,Foraging,{66;70},{60;66;68;69;70}
485,65,Foraging,Waiting Area,{71;68},{71;60;66;68;69;70}
485,66,Foraging,Foraging,{70;62;69},{71;70;68;69;62;60;65}
485,68,Foraging,Foraging,{71;65},{71;66;70;69;62;60;65}
485,69,Interacting with foreign object,Foraging,{66;60},{71;66;68;70;62;60;65}
485,70,Foraging,Foraging,{66;62},{71;66;68;69;62;65}
485,71,Interacting with foreign object,Foraging,{68;65},{66;68;70;69;60;65}
486,60,Foraging,Foraging,{66;62;71;69},{71;66;68;69;62;70;65}
486,62,Foraging,Foraging,{66;70;60},{71;60;66;68;69;70}
486,65,Foraging,Waiting Area,{71;68},{71;60;66;68;69;70}
486,66,Foraging,Foraging,{70;62;69;60},{71;70;68;69;62;60;65}
486,68,Foraging,Foraging,{71;65},{71;66;70;69;62;60;65}
486,69,Interacting with foreign object,Foraging,{66;71;60},{71;66;68;70;62;60;65}
486,70,Foraging,Foraging,{66;62},{71;66;68;69;62;60;65}
486,71,Interacting with foreign object,Foraging,{68;69;60;65},{66;68;70;69;62;60;65}
487,60,Foraging,Foraging,{66;62;71;69},{71;66;68;69;62;70;65}
487,62,Foraging,Foraging,{66;70;60},{71;60;66;68;69;70}
487,65,Foraging,Waiting Area,{68},{71;60;66;68;69;70}
487,66,Interacting with foreign object,Foraging,{70;62;69;60},{71;70;68;69;62;60;65}
487,68,Foraging,Foraging,{65},{71;66;70;69;62;60;65}
487,69,Interacting with foreign object,Foraging,{66;71;60},{71;66;68;70;62;60;65}
487,70,Foraging,Foraging,{66;62},{71;66;68;69;62;60;65}
487,71,Interacting with foreign object,Foraging,{69;60},{66;68;70;69;62;60;65}
488,60,Foraging,Foraging,{66;62;71;69},{71;66;68;69;62;70;65}
488,62,Dig burrow,Foraging,{66;60},{71;60;66;68;69;70}
488,65,Foraging,Waiting Area,{68},{71;60;66;68;69;70}
488,66,Interacting with foreign object,Foraging,{62;69;60},{71;70;68;69;62;60;65}
488,68,Foraging,Foraging,{70;65},{71;66;70;69;62;60;65}
488,69,Interacting with foreign object,Foraging,{66;71;60},{71;66;68;70;62;60;65}
488,70,Foraging,Foraging,{68},{71;66;68;69;62;60;65}
488,71,Interacting with foreign object,Foraging,{69;60},{66;68;70;69;62;60;65}
489,60,Foraging,Foraging,{71;66;68;69;62},{71;66;68;69;62;70;65}
489,62,Foraging,Foraging,{66;60},{71;60;66;68;69;70}
489,65,Foraging,Foraging,{68},{71;60;66;68;69;70}
489,66,Interacting with foreign object,Foraging,{62;68;69;60},{71;70;68;69;62;60;65}
489,68,Foraging,Foraging,{66;70;60;65},{71;66;70;69;62;60;65}
489,69,Interacting with foreign object,Foraging,{66;71;60},{71;66;68;70;62;60;65}
489,70,Foraging,Foraging,{68},{71;66;68;69;62;60;65}
489,71,Interacting with foreign object,Foraging,{69;60},{66;68;70;69;62;60;65}
490,60,Foraging,Foraging,{66;62;68;71},{71;66;68;62;70;65}
